"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 25 13:23:11 CEST 2022","Sat Jun 25 13:23:13 CEST 2022","1455","","E2E - Books Page","","E2E - Books Page","Should sort by price","Should sort by price",""
"passed","Fri Jun 24 17:28:49 CEST 2022","Fri Jun 24 17:28:51 CEST 2022","2453","","E2E - Products","","E2E - Products","Should click on add to cart button","Should click on add to cart button",""
"broken","Sat Jun 25 09:56:19 CEST 2022","Sat Jun 25 09:56:30 CEST 2022","11537","","E2E - Books Page","","E2E - Books Page","Filtr wydawnictwo, klika w ksiazke pierwsza sprawdza wydawnictwo","Filtr wydawnictwo, klika w ksiazke pierwsza sprawdza wydawnictwo",""
"failed","Sat Jun 25 14:28:08 CEST 2022","Sat Jun 25 14:28:08 CEST 2022","88","","E2E - Books Page","","E2E - Books Page","Should verify if sort by price is correct","Should verify if sort by price is correct",""
"passed","Fri Jun 24 17:28:43 CEST 2022","Fri Jun 24 17:28:49 CEST 2022","5161","","E2E - Products","","E2E - Products","Should click on first book","Should click on first book",""
"broken","Sat Jun 25 09:28:22 CEST 2022","Sat Jun 25 09:28:39 CEST 2022","16937","","blabla","","blabla","Should","Should",""
"passed","Fri Jun 24 17:28:38 CEST 2022","Fri Jun 24 17:28:43 CEST 2022","5543","","E2E - Products","","E2E - Products","Should type search phrase and click search icon","Should type search phrase and click search icon",""
"passed","Sat Jun 25 14:28:05 CEST 2022","Sat Jun 25 14:28:08 CEST 2022","3657","","E2E - Books Page","","E2E - Books Page","Should sort books by price and verify url","Should sort books by price and verify url",""
"broken","Fri Jun 24 19:28:34 CEST 2022","Fri Jun 24 19:28:35 CEST 2022","1118","","E2E - Books Page","","E2E - Books Page","Should click on Sort by, select Sort by price and verify if sorting is correct","Should click on Sort by, select Sort by price and verify if sorting is correct",""
"passed","Sat Jun 25 14:28:00 CEST 2022","Sat Jun 25 14:28:05 CEST 2022","4915","","E2E - Books Page","","E2E - Books Page","Should click on Books tab, and verify url","Should click on Books tab, and verify url",""
"passed","Fri Jun 24 17:28:51 CEST 2022","Fri Jun 24 17:28:53 CEST 2022","2360","","E2E - Products","","E2E - Products","Should delete product form cart","Should delete product form cart",""
